,tweets
727,"['adiramadhn', 'in', datetime.datetime(2019, 11, 5, 4, 8, 14), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
728,"['senyumKuncoro', 'in', datetime.datetime(2019, 11, 5, 4, 8, 8), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Nusantara - Indonesia']"
729,"['M4QIN', 'in', datetime.datetime(2019, 11, 5, 4, 7, 48), 0, '@w_11612 @PT_TransJakarta @mrtjakarta Bantu jawab. Belum ada jembatan penghubung jadi harus keluar stasiun MRT.', 'Jakarta Timur, DKI Jakarta']"
730,"['AdiWriter', 'in', datetime.datetime(2019, 11, 5, 4, 7, 45), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta ']"
731,"['R4ZORCANDY', 'in', datetime.datetime(2019, 11, 5, 4, 7, 4), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'sick sad world']"
732,"['deena1185', 'in', datetime.datetime(2019, 11, 5, 4, 6, 40), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'East Jakarta, Indonesia']"
733,"['dhiniyunitas_', 'in', datetime.datetime(2019, 11, 5, 4, 4, 56), 0, '@PT_TransJakarta @mrtjakarta Kalo turun dr mrt fatmawati mau lanjut TJ ke rambutan apa harus nyebrang jalan dulu? Jalan agak lumayan jauh soalnya huhu :(', 'Javanese']"
734,"['ameliafg_', 'in', datetime.datetime(2019, 11, 5, 4, 4, 39), 0, 'Mari.. (@ Stasiun MRT Cipete Raya - @mrtjakarta in Jakarta Selatan, DKI Jakarta) https://t.co/i6Noy82XtG', 'ÜT: -8.727692,115.179073']"
735,"['dionrizki', 'in', datetime.datetime(2019, 11, 5, 4, 3, 58), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta,Indonesia']"
736,"['AstraAugusta', 'in', datetime.datetime(2019, 11, 5, 4, 3, 49), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
737,"['RestuAria', 'in', datetime.datetime(2019, 11, 5, 4, 2, 20), 0, '@PT_TransJakarta @mrtjakarta Pake metro trans? Atau Minitrans kaya MR9??', 'Indonesia']"
738,"['bimasakti_92', 'in', datetime.datetime(2019, 11, 5, 4, 0, 58), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'A - B - AB - AD - DK']"
739,"['carnauval', 'in', datetime.datetime(2019, 11, 5, 4, 0, 56), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta, Indonesia']"
740,"['tashanabilla', 'in', datetime.datetime(2019, 11, 5, 4, 0, 52), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '+62']"
741,"['bimantaraadji', 'in', datetime.datetime(2019, 11, 5, 4, 0, 46), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Istimewa']"
742,"['tashanabilla', 'in', datetime.datetime(2019, 11, 5, 4, 0, 44), 0, ""@PT_TransJakarta @mrtjakarta Semoga ada yg dari timur ya min, dari arah2 rambutan :')"", '+62']"
743,"['bucinmrt', 'in', datetime.datetime(2019, 11, 5, 4, 0, 32), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta Capital Region']"
744,"['amri_9812', 'in', datetime.datetime(2019, 11, 5, 4, 0, 19), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jabodetabek']"
745,"['mrtjakarta', 'in', datetime.datetime(2019, 11, 5, 3, 58, 46), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta Pusat, DKI Jakarta']"
746,"['kondekturbus_', 'in', datetime.datetime(2019, 11, 5, 3, 58, 43), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jabodetabek']"
747,"['w_11612', 'in', datetime.datetime(2019, 11, 5, 3, 58, 41), 0, '@PT_TransJakarta @mrtjakarta Apa harus keluar dari stasiun MRT atau ada jembatan penghubungnya ya min?', '']"
748,"['thaalitaaaaaaa', 'in', datetime.datetime(2019, 11, 5, 3, 58, 39), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta Selatan, DKI Jakarta']"
749,"['RyanBakkaru', 'in', datetime.datetime(2019, 11, 5, 3, 56, 38), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Bekas Ibukota Jakarta']"
750,"['w_11612', 'in', datetime.datetime(2019, 11, 5, 3, 56, 31), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
751,"['PT_TransJakarta', 'in', datetime.datetime(2019, 11, 5, 3, 55, 31), 225, 'Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan @mrtjakarta dapat melanjutkan perjalanan menggunakan Transjakarta dengan mudah. Yuk naik transportasi publik! https://t.co/P0nqb7xgvg', 'Jakarta']"
752,"['agungsijawir', 'in', datetime.datetime(2019, 11, 5, 3, 12, 27), 0, '@farid_azizi @qronoz @mrtjakarta Sabar wahai manusia 🤣', 'Jakarta Selatan, DKI Jakarta']"
753,"['ali_njajali', 'in', datetime.datetime(2019, 11, 5, 3, 3, 20), 5, 'RT @BuswayFansC: Rute Baru @PT_TransJakarta Terintegrasi @mrtjakarta\n\n6R| RAGUNAN - ST. FATMAWATI via TB SIMATUPANG - ST. LEBAK BULUS\n\nEfek…', 'Depok ']"
754,"['AdiiAFVs', 'in', datetime.datetime(2019, 11, 5, 3, 2, 59), 5, 'RT @BuswayFansC: Rute Baru @PT_TransJakarta Terintegrasi @mrtjakarta\n\n6R| RAGUNAN - ST. FATMAWATI via TB SIMATUPANG - ST. LEBAK BULUS\n\nEfek…', 'DKI Jakarta - Indonesia']"
755,"['sipwarmbeer', 'in', datetime.datetime(2019, 11, 5, 3, 1, 50), 0, '@ramdisa @mrtjakarta @WisataKotatua @PT_TransJakarta @adriansyahyasin @TfJakarta Flyover nya di sebelah mana nya beos bang?', '']"
756,"['xpokcayx', 'in', datetime.datetime(2019, 11, 5, 2, 56), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Indonesia']"
757,"['BuswayFansC', 'in', datetime.datetime(2019, 11, 5, 2, 49, 46), 5, 'Rute Baru @PT_TransJakarta Terintegrasi @mrtjakarta\n\n6R| RAGUNAN - ST. FATMAWATI via TB SIMATUPANG - ST. LEBAK BULUS\n\nEfektif mulai 5 November 2019\n\n#BFCinfo #BuswayFansClub #AyoNaikTransjakarta #BFCLuarBiasa https://t.co/myBTtFaCsG', 'Jakarta Capital Region']"
758,"['anitta_damayant', 'in', datetime.datetime(2019, 11, 5, 2, 33, 6), 0, '@triyanifauziah @qronoz @mrtjakarta Nahkan semoga cepet yee😅', '']"
759,"['triyanifauziah', 'in', datetime.datetime(2019, 11, 5, 2, 24, 46), 0, '@anitta_damayant @qronoz @mrtjakarta akhirnyaaaaaa... selama ini tu halte cuma dilewatin doang, padahal strategis bgt turun ke bawah ada MRT...', '']"
760,"['AydiLia', 'in', datetime.datetime(2019, 11, 5, 2, 22, 56), 0, '@apemcomall @mrtjakarta Kan baper mamak pagi2 ya', 'Jakarta']"
761,"['farid_azizi', 'in', datetime.datetime(2019, 11, 5, 2, 22, 42), 0, '@qronoz @mrtjakarta Jadinya desainnya Gimana ya? Apa cm tangga / Ada bangunanya  integrasinya Gt', 'Depok']"
762,"['apemcomall', 'in', datetime.datetime(2019, 11, 5, 2, 15, 37), 0, '@AydiLia @mrtjakarta 🤣🤣🤣🤣 tolong dengerin suara mama luis ini min', 'Jakarta Utara, DKI Jakarta']"
763,"['AydiLia', 'in', datetime.datetime(2019, 11, 5, 2, 0, 55), 0, 'Ruang laktasi di stasiun istora tolong dikasih sekat ya min @mrtjakarta \nYa emg sih yg masuk sesama jenis. Tp bisa menimbulkan keiridengkian kl ngelirik yg sebelah asi nya lbh banyak 😂', 'Jakarta']"
764,"['qronoz', 'in', datetime.datetime(2019, 11, 5, 2, 0, 2), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', 'Jakarta, Indonesia']"
765,"['andirzki', 'in', datetime.datetime(2019, 11, 5, 1, 52, 15), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', 'Indonesia']"
766,"['eismfs', 'in', datetime.datetime(2019, 11, 5, 1, 50, 3), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', '']"
767,"['Kitazura', 'in', datetime.datetime(2019, 11, 5, 1, 48, 34), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', 'ÜT: -5.147912,119.439999']"
768,"['irwan_cib', 'in', datetime.datetime(2019, 11, 5, 1, 45, 52), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Bekasi, Jawa Barat']"
769,"['anitta_damayant', 'in', datetime.datetime(2019, 11, 5, 1, 40, 19), 0, '@qronoz @mrtjakarta Sahabat cileds @triyanifauziah siap2 😊', '']"
770,"['M_Farraz', 'in', datetime.datetime(2019, 11, 5, 1, 39, 18), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', 'Lampung|Liverpool']"
771,"['jillauz', 'in', datetime.datetime(2019, 11, 5, 1, 37, 41), 0, '@mrtjakarta halo min,\napakah benar stasiun Jakarta kota bisa melayani naik turun MRT ?', '']"
772,"['AlnaShafira04', 'in', datetime.datetime(2019, 11, 5, 1, 36, 52), 0, 'Cipete Raya - Bundaran HI \n@mrtjakarta https://t.co/WvgyDVhaPy', 'Jakarta Timur, DKI Jakarta']"
773,"['atinawinasti', 'in', datetime.datetime(2019, 11, 5, 1, 34, 33), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', '(+6221)']"
774,"['esgrimstroberi', 'in', datetime.datetime(2019, 11, 5, 1, 29, 36), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', '']"
775,"['jjongryongida', 'in', datetime.datetime(2019, 11, 5, 1, 25, 59), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', '']"
776,"['RiiaRF', 'in', datetime.datetime(2019, 11, 5, 1, 7, 34), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', 'Jakarta Capital Region, Indone']"
777,"['Prince_OQ', 'in', datetime.datetime(2019, 11, 5, 0, 57, 51), 0, 'Halo @mrtjakarta jadwal sholat di musholla Benhil ini waktunya ga pas, lho. Tolong disesuaikan. Terima kasih. https://t.co/g8eZ67PgB7', 'ÜT: -6.226247,106.820728']"
778,"['ritawidyasarih', 'in', datetime.datetime(2019, 11, 5, 0, 24, 6), 1, 'Jakarta sudah banyak Skuter listrik mesti diantisipasi @DKIJakarta @kemenhub151 @DishubDKI_JKT @mrtjakarta #safetyFirst @Humas_DKI @detikcom @RadioElshinta https://t.co/SdRlHGdJ4m', 'Jakarta Barat, DKI Jakarta']"
779,"['OkaAditya', 'in', datetime.datetime(2019, 11, 5, 0, 13, 13), 0, '@mrtjakarta Saya ga nemuin sticker BAGUS ini lagi di escalator St Asean dan St Benhil. Kenapa? Thats a big deals for Indonesian behavior. Pasang lagi bro! @mnctrijayafm @DKIJakarta https://t.co/HodyND5xXy', 'Jakarta, Indonesia']"
780,"['BeritaJakarta', 'in', datetime.datetime(2019, 11, 4, 23, 0), 0, 'PT MRT Pasang Alat Deteksi Banjir di Kanal Banjir Barat\n@mrtjakarta\n#BeritaJakarta\n#BacadiBJ \n\nhttps://t.co/WTRHLWF7ha', 'Balaikota DKI Jakarta']"
781,"['RaspatiDana', 'in', datetime.datetime(2019, 11, 4, 17, 55, 30), 0, 'Saat sang penjelajah dua alam bersanding dengan transportasi modern \n-\n📸: Samsung Galaxy Note 9\nApps: Adobe Lightroom Mobile\n📍: Stasiun @mrtjakarta H. Nawi\n-\n#dkijakarta #explorejakarta #jakartaskyline… https://t.co/uOJ80yk21g', 'indonesia']"
782,"['thecocopost', 'in', datetime.datetime(2019, 11, 4, 17, 25, 21), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Kota Malang']"
783,"['susultraluvjeji', 'in', datetime.datetime(2019, 11, 4, 17, 12, 50), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', '']"
784,"['BillyJS_09', 'in', datetime.datetime(2019, 11, 4, 16, 24, 8), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'DKI Jakarta, Indonesia']"
785,"['TiasArdiyani', 'in', datetime.datetime(2019, 11, 4, 16, 20, 42), 0, '@basuki_btp @mrtjakarta Wwaaaw', '']"
786,"['TiasArdiyani', 'in', datetime.datetime(2019, 11, 4, 16, 20, 3), 4881, 'RT @basuki_btp: Dapat video ini dari anak saya yang sudah mencoba naik MRT, selamat untuk @mrtjakarta Semoga ini tidak hanya menjadi moda t…', '']"
787,"['TobitaN_KAI', 'in', datetime.datetime(2019, 11, 4, 15, 58, 30), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'ひょーご\u3000とーきょー\u3000ろんどん\u3000じゃかるた']"
788,"['fasabimuhammad', 'in', datetime.datetime(2019, 11, 4, 15, 51, 44), 0, '@mrtjakarta Moga cepet selesai biar bisa lanjut fase barat - timur. Sebetulnya dari segi wilayah dan tingkat ekonomi da profesi masyarakatnya, Barat - Timur ini lebih perlu. Kalo utara selatan malah sebenernya banyakan pengusaha ketimbang pegawai kantoran yg emang butuh public transport.', 'Indonesia']"
789,"['Jalur5Info', 'in', datetime.datetime(2019, 11, 4, 15, 49, 31), 0, '@arifmuharram @mrtjakarta Kecuali kalau 2020-2023 selama pembangunan fase 2, pihak yang nyewa ke PT KAI itu dengan rela nyerahin tanahnya.\n\nPemilik lahan KAI kejepit di tengah kampung bandan tuh perusahaan, PT. Gak semudah ngasih uang kerohiman ke penduduk liar', '']"
790,"['Jalur5Info', 'in', datetime.datetime(2019, 11, 4, 15, 48, 9), 0, '@arifmuharram @mrtjakarta Gabisa, kepentok kali.\n\nSudah begitu beda tingginya ga kekejar.\n\nDi kota gak gabung sama CL. Rencananya gabung di jalur priuk, rencana mau disambungin ke jalur yang skg buat KA Lokal Cikampek. \n\nDi KPB gabisa karena tanah yang diminta MRT statusnya sengketa', '']"
791,"['Jalur5Info', 'in', datetime.datetime(2019, 11, 4, 15, 44, 20), 0, '@wahyuutomos @mrtjakarta Dan batal pakai kampung bandan karena status tanah yang mau dipake bersama oleh MRT dan KAI adalah tanah sengketa\n\nDulu PT KAI mau bangun TOD di lahan ilalang kp bandan. Batal karena lahannya ada HGB yg dipegang perorangan, ya sama kayak status HGB Pasar Pagi Mangdu ke KAI', '']"
792,"['jamoer18', 'in', datetime.datetime(2019, 11, 4, 15, 42, 41), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Jakarta Selatan, DKI Jakarta']"
793,"['Jalur5Info', 'in', datetime.datetime(2019, 11, 4, 15, 41, 11), 0, '@wahyuutomos @mrtjakarta Ancol dimasukin fase 3 karena lahan dipo mrt di sekitar Sunter Permai gajelas', '']"
794,"['Jalur5Info', 'in', datetime.datetime(2019, 11, 4, 15, 40, 21), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', '']"
795,"['Mueng23', 'in', datetime.datetime(2019, 11, 4, 15, 32, 7), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Kota Serang, Banten']"
796,"['capt_tabasa', 'in', datetime.datetime(2019, 11, 4, 15, 21, 50), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Bandung']"
797,"['zaheyraw', 'in', datetime.datetime(2019, 11, 4, 15, 1, 15), 0, '@mrtjakarta Sama-sama, semoga bisa cepat diperbaiki ya', '+62']"
798,"['recirecii', 'in', datetime.datetime(2019, 11, 4, 14, 53, 17), 0, ""@mrtjakarta can't wait for MRT phase II, semoga lancar dan bisa cepet2 trial run lagii 😁 @mrtjakarta"", 'Jakarta Capital Region']"
799,"['trynofree', 'in', datetime.datetime(2019, 11, 4, 14, 47, 42), 0, '@mrtjakarta Yak, dimulai lagi kemacetannya 😂', 'Jakarta Utara, DKI Jakarta']"
800,"['gallanttsany', 'in', datetime.datetime(2019, 11, 4, 14, 45, 51), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Yogyakarta, Indonesia']"
801,"['adfebriyanti', 'in', datetime.datetime(2019, 11, 4, 14, 39, 58), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', '+62']"
802,"['dianacelebica', 'in', datetime.datetime(2019, 11, 4, 14, 39, 27), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Jakarta Selatan, DKI Jakarta']"
803,"['arisandia', 'in', datetime.datetime(2019, 11, 4, 14, 37, 28), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Indonesia']"
804,"['ciwunk', 'in', datetime.datetime(2019, 11, 4, 14, 31, 53), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', ""S 7° 14' 0'' / E 112° 44' 0''""]"
805,"['etikwahyu', 'in', datetime.datetime(2019, 11, 4, 14, 30, 54), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'right your left']"
806,"['arieparikesit', 'in', datetime.datetime(2019, 11, 4, 14, 25, 51), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Food Tour in Indonesia/abroad']"
807,"['aryocakson', 'in', datetime.datetime(2019, 11, 4, 14, 20, 34), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Bekasi Barat, Indonesia']"
808,"['iqbalangga', 'in', datetime.datetime(2019, 11, 4, 13, 59, 25), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Tambun - Bekasi']"
809,"['rendy_aprizal', 'in', datetime.datetime(2019, 11, 4, 13, 57, 11), 0, 'Mencoba memberhentikan @mrtjakarta. https://t.co/Z4SxgcfDgt', 'Jakarta Timur, DKI Jakarta']"
810,"['nastysingle', 'in', datetime.datetime(2019, 11, 4, 13, 56, 3), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', '']"
811,"['zaheyraw', 'in', datetime.datetime(2019, 11, 4, 13, 45, 16), 0, '@mrtjakarta Ini di stasiun blok m min', '+62']"
812,"['sigitari77', 'in', datetime.datetime(2019, 11, 4, 13, 44, 39), 0, '@JSCLounge @mrtjakarta Kenapa gak dibuatin pintu stasium MRT Fatmawati yg diutara tol ya?', 'Jakarta']"
813,"['AKigly', 'in', datetime.datetime(2019, 11, 4, 13, 8, 52), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', '']"
814,"['NananggSR', 'in', datetime.datetime(2019, 11, 4, 12, 55, 30), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Solo - Tangerang']"
815,"['youhwansarang', 'in', datetime.datetime(2019, 11, 4, 12, 54, 9), 0, '@mrtjakarta Terima kasih min,maju terus transportasi kebanggaan kami', 'Ujung Langit']"
816,"['_riyanhadi', 'in', datetime.datetime(2019, 11, 4, 12, 49, 47), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'DKI Jakarta, Indonesia']"
817,"['88miaw', 'in', datetime.datetime(2019, 11, 4, 12, 46, 15), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Bogor, Jawa Barat']"
818,"['indiratriani', 'in', datetime.datetime(2019, 11, 4, 12, 41, 11), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Jakarta']"
819,"['pluiedame', 'in', datetime.datetime(2019, 11, 4, 12, 39, 36), 0, '@mrtjakarta di st.sudirman, ada pintu tembusan yg deket tangga naik gerbong dpn, fungsinya apa ya? klo lg antri tangga tau2 banyak bgt dserbu org2 yg short cut dr situ. Apa slalu dibiarkan tdk trkunci?', 'Cimanggis, Indonesia']"
820,"['abcditto', 'in', datetime.datetime(2019, 11, 4, 12, 26, 59), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', 'Indonesia']"
821,"['rby_', 'in', datetime.datetime(2019, 11, 4, 12, 15, 15), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Bogor, Jawa Barat']"
822,"['theleacriss', 'in', datetime.datetime(2019, 11, 4, 12, 10, 42), 0, '@mrtjakarta mrt bendungan hilir ke lebak bulus terakhir jam brp ya? \nTerima Kasih', 'Indonesia']"
823,"['itssunteaa', 'in', datetime.datetime(2019, 11, 4, 12, 5, 47), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', '']"
824,"['youhwansarang', 'in', datetime.datetime(2019, 11, 4, 12, 3, 23), 0, 'Maaf min @mrtjakarta gerbong ini ada bau pesing https://t.co/zKJnzxKDt7', 'Ujung Langit']"
825,"['christellasuryo', 'in', datetime.datetime(2019, 11, 4, 11, 58, 10), 28, 'RT @qronoz: Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan…', 'backstage area']"
826,"['qronoz', 'in', datetime.datetime(2019, 11, 4, 11, 56, 5), 28, 'Corporate Secretary @mrtjakarta mengakui butuh waktu yang tidak sebentar dalam proses pembangunan integrasi CSW. Ia menargetkan pertengahan tahun 2020 stasiun dan halte tersebut bisa tersambungkan. https://t.co/YOwhoCesrJ\n\nSebentar lagi, Sahabat Ciledug! 🎉', 'Jakarta, Indonesia']"
827,"['andrinuggraha', 'in', datetime.datetime(2019, 11, 4, 11, 53, 52), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'Jakarta']"
